,exp1,exp15,exp16,exp17,exp18
RMSE,64.2514165242513,68.4907995859782,69.23086357116699,67.76602109273274,68.21436818440755
REL,0.1846609115600586,0.19875012338161469,0.20024307568868002,0.19692824284235635,0.19622922440369925
delta,0.7131880819797516,0.6778628925482432,0.6762009461720785,0.6826061904430389,0.6867895225683848
loss_depth,48.016011555989586,51.75227165222168,52.33576265970866,51.33360735575358,51.26983960469564
loss_grad,196.5569610595703,206.1155268351237,209.6378428141276,205.1383260091146,208.07397969563803
loss_normal,35.15110238393148,37.85200754801432,39.403469721476235,37.4282169342041,39.364393870035805
loss_ssim,15.977488040924072,17.438149452209473,17.905831813812256,17.182173093159992,17.641121864318848
inference_time (ms),105.71519533793132,51.41897996266683,51.47425333658854,51.45343144734701,51.39875411987305
lambda,10,10,100,10,100
n_of_bins,24,32,32,24,24
fmaps_decoder,True,True,True,True,True
exp_name,exp1,exp15,exp16,exp17,exp18
